DATE,sleep_hrs,Total_Prod.,p,WebD,webD-desW/P,PHP,React,RubyRails,Python,Python Data Analysis,Data Science,Django,Java,Java-Android,C,Swift,DB-studies,Db.visio,SQLServer,R,R-Rstudio,ProjectM.,3D modeling,photoshop,illustrator,substance(CAD),BA/SA,BootstrapStudio,vuejs,x,,,,,,,,,
4/12/2020,8,4.417,0.500,,,,,,,,,,2.917,,,,,,,,,,,,,,1.000,,,,,,,,,,,,
4/13/2020,8,9.167,3.500,,,,,,,,,,4.667,,,,,,,,,,,,,,1.000,,,,,,,,,,,,
4/14/2020,5.5,2.583,0.917,0.167,,,,,,,,,0.167,,,,,,,,,,,,,,1.333,,,,,,,,,,,,
4/15/2020,8.5,9.917,1.167,,,,,,,,,,2.500,,,,,,,,,,,,1.917,,4.333,,,,,,,,,,,,
4/16/2020,8,6.250,1.250,,,,,,,,,,,,,,,,,,,,,,,,5.000,,,,,,,,,,,,
4/17/2020,8,3.000,1.000,0.083,,,,,,,,,1.917,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2020,8.5,6.250,2.000,1.000,,,,,3.000,,,,,,,,,,,,,,,,,,,0.250,,,,,,,,,,,
4/19/2020,7.5,4.000,0.667,,,,,,,,,,,,,,,,,,,,,,,,1.333,2.000,,,,,,,,,,,
4/20/2020,9,9.250,0.750,1.500,,,,,,,,,4.500,,,,,,,,,,,,,,2.500,,,,,,,,,,,,
4/21/2020,6.5,10.000,2.667,0.250,,,,,,,,,1.250,,,,,,,,,,,,,,5.583,,0.250,,,,,,,,,,
4/22/2020,6,8.167,3.500,1.250,,,,,,,,,0.417,,,,,,,,,,,,,,3.000,,,,,,,,,,,,
4/23/2020,9,8.083,0.583,2.000,,,,,0.917,,,,,,,,,,,,,,,,,,4.583,,,,,,,,,,,,
4/24/2020,8.5,8.667,2.500,,,,,,4.250,,,,1.917,,,,,,,,,,,,,,,,,,,,,,,,,,
4/25/2020,8.5,11.417,3.333,0.417,,0.333,,,5.667,,,1.083,,,,,,,,,,,,,,,0.583,,,,,,,,,,,,
4/26/2020,7.5,3.917,1.583,2.000,,,,,,,,,,,,,,,,,,,,,,,0.333,,,,,,,,,,,,
4/27/2020,8,8.250,1.583,2.083,,,0.333,,,,,,3.583,,,,,,,,,,,,,,0.667,,,,,,,,,,,,
4/28/2020,9.5,12.000,1.083,0.333,,,,,,,,,,,,,,,,,,,,,,,10.583,,,,,,,,,,,,
4/29/2020,6,7.917,4.000,,,,,,,,,,0.417,,,,,,,,,,,,,,3.500,,,,,,,,,,,,
4/30/2020,9,11.000,3.000,,,,,,0.500,,,,,,,,,,,,,,,,,,7.500,,,,,,,,,,,,
5/1/2020,6,5.917,3.667,,,,,,2.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2020,6.5,5.500,0.667,,,,,,4.083,,,,,,,,,,,,,,,,,,0.750,,,,,,,,,,,,
5/3/2020,8,6.417,2.500,,,,,,1.833,,,,0.917,,,,,,,,,,,,,,1.167,,,,,,,,,,,,
5/4/2020,9,6.083,0.667,0.333,,,,,,,,,3.583,,,,,,,,,,,,,,1.500,,,,,,,,,,,,
5/5/2020,9,4.583,1.750,,,,,,,,,,,,,,,,,,,,,,,,2.833,,,,,,,,,,,,
5/6/2020,8,5.333,3.333,,,,,,,,,,1.167,,,,,,,,,,,,,,0.833,,,,,,,,,,,,
5/7/2020,7,4.000,1.333,,,,,,,,,,,,,,,,,,,,,,,,2.667,,,,,,,,,,,,
5/8/2020,8.5,1.500,0.917,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2020,8,6.000,0.667,,,,,,4.000,,,,1.333,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2020,5.5,4.083,0.250,,,,,,,,,,3.833,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2020,8,2.583,0.083,,,,,,,,,,2.333,,,,,,,,,,,,,,0.167,,,,,,,,,,,,
5/12/2020,8.5,3.667,0.167,,,,,,,,,,0.833,,,,,,,,,,,,,,2.667,,,,,,,,,,,,
5/13/2020,7,5.833,4.083,,,,,,,,,,1.000,,,,,,,,,,,,,,0.750,,,,,,,,,,,,
5/14/2020,8,7.250,2.167,0.167,,,,,,,,,,,,,,,,,,,,,,,4.917,,,,,,,,,,,,
5/15/2020,9.5,4.583,3.417,,,,,,1.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2020,2.5,4.250,0.500,,,,,,3.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2020,10,4.750,2.833,,,,1.000,,,,,,0.833,,,,,,,,,,,,,,0.083,,,,,,,,,,,,
5/18/2020,6,0.333,0.250,,,,,,,,,,,,,,,,,,,,,,,,0.083,,,,,,,,,,,,
5/19/2020,8,0.833,0.250,,,,,,,,,,,,,,,,,,,,,,,,0.583,,,,,,,,,,,,
5/20/2020,7.5,6.917,6.833,,,,,,,,,,,,,,,,,,,,,,,,0.083,,,,,,,,,,,,
5/21/2020,11.5,2.583,0.250,,,,,,,,,,,,,,,,,,,,,,,,2.333,,,,,,,,,,,,
5/22/2020,7.5,6.500,5.500,,,,,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2020,8,1.750,1.250,,,,,,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2020,7,9.000,2.333,,,,,,0.667,,,,,,,,,,,,,,,,,,6.000,,,,,,,,,,,,
5/25/2020,6.5,9.833,1.417,,,,,,1.417,,,,2.500,,,,,,,,,,,,,,4.500,,,,,,,,,,,,
